,Title,"Creator (suffix, fname, middle, surname)",Keyword,Rights,Abstract,Date Created,Subject,Resource Type,Restrictions,Embargo Dates,PDF Files
52,Pushforwards of Measures on Real Varieties under Maps with Rational Singularities,"(None, 'Andrew', None, 'Reiser')","Measures, Rational singularities",In Copyright,"['Let X,Y be algebraic varieties defined over the reals. Assume Y is smooth and X is Gorenstein. Suppose f:X -> Y is a flat R-morphism such that all the fibers have rational singularities. We show that the pushforward of any smooth, compactly supported measure on X has a continuous density with respect to any smooth measure with non-vanishing density on Y. This extends a result of Aizenbud and Avni from the p-adic case to the archimedean case.']",01/01/2018,Mathematics,Dissertation,None,no embargo,Reiser_northwestern_0163D_14094.pdf
53,Regulation of the Cyclic AMP Receptor Protein of Yersinia pestis,"(None, 'Jeremy', 'Todd Henry', 'Ritzert')","Crp, Glucose, Pestis, Pla, Plague, Yersinia",In Copyright,"['Ubiquitous in the environment are bacteria that have evolved to adapt to the environmental niches they colonize. To this end, bacteria sensory and signaling molecules are required for processing these extracellular changes within their environment into changes in gene expression. The plague-causing pathogen, Yersinia pestis, contains a repertoire of two-component systems, transcriptional regulators, and riboregulators that allow Y. pestis to transmit between fleas, mammals, and multiple tissue sites therein. Each of these environments is unique in the available nutrients and host defenses. Its closest evolutionary ancestor, Yersinia pseudotuberculosis, is a gastrointestinal pathogen that is not associated with fatal disease. The close similarity of Y. pestis to Y. pseudotuberculosis allows for studying of the evolutionary changes that permitted Y. pestis to adapt to a new life cycle. The cyclic-AMP receptor protein, Crp, is a transcriptional regulator that is 100% identical between Y. pestis and Y. pseudotuberculosis. However, differences in regulation of the crp gene could change when Crp-regulated genes are activated or repressed. ', '\tOur previous work discovered that the small RNA chaperone, Hfq, is required for translation of Crp in Y. pestis. Hfq binds to messenger RNAs (mRNAs) and small non-coding RNAs (sRNAs) to regulate gene expression. Hfq control of Crp protein levels is temperature- and species-dependent and suggests sRNAs are involved in regulating expression of crp. A transposon screen was employed to identify sRNAs controlling expression of crp at the post-transcriptional level. The screen identified putative sRNAs and the PmrAB two-component system as potential regulators of crp expression. Identifying the regulators of crp expression in Y. pestis may allow for understanding the species-specific differences in crp expression.', 'Y. pestis encounters environments that change as the disease progresses. During pneumonic plague, Y. pestis proliferates within the lungs consuming available glucose by 72 hours post-infection (hpi). Expression of the pla gene, a critical virulence factor required for disease progression and target of Crp, increases as glucose is depleted from the lungs. Crp is necessary for expression of pla, and high-resolution microscopy captured increased expression of crp within large biofilm-like structures in mouse-infected lungs. Deletion of the glucose specific transporter, ptsG, attenuates growth in the lung, prevents glucose depletion, and the induction of crp and pla expression. These findings provide the first, direct association between activation of catabolite-repressed genes in response to changes in available glucose during infection.', '\tAfter identifying increased expression of crp within biofilms in the absence of glucose, I sought to identify differentially expressed genes within planktonic and biofilm-grown cells in the presence and absence of glucose by RNA-sequencing. RNA was also sequenced from a ∆crp mutant of Y. pestis to identify Crp-regulated genes in Y. pestis. Carbon source and Crp had significant impacts on expression of genes in Y. pestis. Crp regulates the expression of hundreds of mRNA-encoding genes and dozens of sRNAs. Crp directly represses the quorum sensing regulator, ypeR, but there is no significant reduction in AHL production in Y. pestis ∆crp. In addition, Crp is required for growth of Y. pestis in multiple carbon sources. The information learned from RNA-sequencing will be valuable in understanding how Y. pestis adapts to growth in the biofilm state and identifying Crp-regulated genes.']",01/01/2018,Driskill Graduate Training Program in Life Sciences,Dissertation,"code: 1, date: 06/22/2019",Private,Ritzert_northwestern_0163D_14095.pdf
54,THE CONCEPT OF STIKHIIA IN MARINA TSVETAEVA’S POETRY AND ESSAYS,"(None, 'Max', None, 'Rosochinsky')","20th Century Russian Poetry, Marina Tsvetaeva, Russian Literature",In Copyright,"['In this dissertation, I argue that the locus of Tsvetaeva’s seemingly conflicted views about art and the criteria for its evaluation is the tension between the rational, ethical, and distinctively human in us, and the irrational spontaneous impulse. Tsvetaeva’s term for the irrational impulse is stikhiia, a force of nature that is characterized by a creative striving. Stikhiia, on Tsvetaeva’s view, is not unique to humans. Plants and animals are driven to grow and reproduce in virtue of the same force. But in humans stikhiia finds its unique expression due to the human possession of the faculty of the will. Insofar as humans come to be possessed by stikhiia, they experience an urge to reproduce, create, and dissolve in the larger “we” or a grand ideal. In her poetry and critical writings, Tsvetaeva examines different dimensions and expressions of stikhiia, from the revolutionary impulse that drives the masses, to erotic passion, to artistic creation, to all-embracing and indiscriminate motherly love. Yet stikhiia, on Tsvetaeva’s view, is not the only type of human motivation, and it would be misleading to characterize all human activity as stemming from this single source. Humans are also moved to act by principles they reflectively endorse, and can rule themselves in accordance with rationally adopted laws. On Tsvetaeva’s view, stikhiia and the rationally adopted principles and values can come into conflict. A work of art, she argued, is a result of a conflict in which the artist managed to maintain a balance between the two impulses through an act of will. Works that have been produced through an act of will alone are products of an uninspired craft. By contrast, those that have come into being through stikhiia that was not mastered by the artist’s will collapse into undisciplined mutterings and formless visions. As Tsvetaeva argues in her seminal essay “Искусство при Свете Совести” (“Art in the Light of Conscience, 1932”), a genuine work of art can only be produced by an artist who masters stikhiia through an act of will. ', 'In the opening chapter, I examine Tsvetaeva’s cycle “Лебединый Стан” (“The Demesne of the Swans,” 1917-1920). I show that in it Tsvetaeva raises a problem for herself as a poet: what is the poet’s role in the morally destitute time? Tsvetaeva’s narrator becomes increasingly self-conscious of the need to articulate her mission. On the one hand, she must be guided by the power and the sheer forcefulness of stikhiia, exemplified in the poems by the figure of the faceless and nameless masses, natural forces, and the vengeful God enacting obscure dark laws. On the other hand, she must be attuned to her inner ethical disposition, her conscience. While stikhiia is a source of inspiration, the force that gives her voice and elicits a response, a conscience would silence her, revealing her “singing” as inappropriate. Torn in this way, Tsvetaeva’s poetic narrator attempts to reconcile the tension by discovering an ethical dimension to her poetic project. Her mission, as an ethically minded poet, will be two-fold: to preserve an account of the virtues that are lost and forgotten in the revolutionary chaos; and to retain the memory of the virtuous defenders of the ordered world whose valor will be suppressed and distorted by the historical narrative of the morally indiscriminate victors. What inspired the poem is the inherently productive force of stikhiia; but it is equally important that stikhiia rages against something enduring and active. On my reconstruction of Tsvetaeva’s thinking, the poet is inspired by the tension that emerged between stikhiia and those that oppose it due to their rectitude and ability to stand their ground in the face of danger.  ', 'I go on to examine Tsvetaeva’s notoriously difficult and controversial essay “Искусство при Свете Совести” (1932). In this essay, Tsvetaeva argues that art is essentially amoral – even more radically, that great art “puts conscience to sleep.” Insofar as an artist is guided by her conscience, her artistic achievements will be limited and her creative powers compromised. Yet a close reading of Tsvetaeva’s typology of artists shows that she does not think that great art is necessarily immoral – indeed, that would be a counterfactual. So how can great art be compatible with the requirements of morality? Tsvetaeva’s lucid analysis reminds us that artists are human beings, and so are bound by the moral requirements appropriate to humans. Insofar as they are artists, they should not create from the requirements of their conscience; but their creation may conform, if they are lucky, to the demands that their conscience places on them as human persons. Tsvetaeva’s own self-conception in “Лебединый Стан,” in which she dealt with the tension between “poet” and “human being” implicitly, comes into sharper relief in the context of this later discussion: an artist may create poems that express or preserve ethical truths, but she cannot do it because she’s bound by moral duty, or by the voice of conscience. Once the poet makes an explicit attempt to meet the distinctively ethical demands, she becomes a chronicler (letopisets). Being a poet does not free a human being of her moral duties just as being a human being does not relieve a poet of a morally indiscriminate calling to create.', 'This leads me to focus on the dimension of stikhiia so central in Tsvetaeva’s poetry: erotic passion, and its power to inspire the artist to create her works. For Marina Tsvetaeva, both poet and lover are inspired by stikhiia. She thinks that a poet, insofar as she is a creator of works of art, is exempt from ethical considerations; yet she is ethically responsible insofar as she is a human being. An excellent artist may be an ethically failed individual, just as an ethically successful individual may destroy herself as an artist. Tsvetaeva’s perspective on erotic passion is structurally similar, and my next chapter focuses on the issue of erotic impulse and Tsvetaeva’s ultimate rejection of erotic desire as an authoritative ground for action. My reading suggests that on her view, a virtuoso lover may be an ethical failure; conversely, an ethically successful person may be a boring lover. Tsvetaeva experiments with different models for reconciling the tension between eros and art within stikhiia; and the conflict between stikhiia-driven phenomena (erotic urge, artistic impulse, the revolutionary impulse) and ethical requirements. On her considered view, art takes precedence over eros (as well as other expressions of stikhiia), and ethics takes precedence over all stikhiia-driven phenomena, including art. But even an ethically responsible individual may nevertheless be tempted to excuse herself from moral requirements by the promise of brute power that stikhiia gives.', 'I conclude the dissertation by attending to the types of love Marina Tsvetaeva finds less likely to be determined by stikhiia and thus compatible with ethical requirements, sometimes even enhancing the ethical tendencies: the ideals of maternal love, and the love between a teacher and a pupil. Traditional erotic love is ethically problematic, selfish, partial, and fleeting. It also threatens to destroy the artist by channeling all of the stikhiia-generated powers into the love-making. Because both art and love are essentially creative and aim at reproduction, they compete, thus leading to the extinguishing of the creative impulse. On the basis of Tsvetaeva’s 1929 poem “Перекоп” (“Perekop”), I examine her concept of “people’s compassion” (narodnoe sostradanie) and develop an analysis of compassionate love that must be universally extended to all victims of terrible events and precedes the ethically relevant distinctions between the fallen (such as ‘good’ and ‘bad,’ ‘right’ and ‘wrong’). The beloveds are loved without having done anything to earn the love, just in virtue of their vulnerability and humanness in the face of an impossible situation. This ultimate form of love as compassion and understanding leads Tsvetaeva to reconceive of her poetic mission in her later poetry. It is no longer limited to preserving the memory of worthy beloveds and ensuring their immortality and salvation in the work of art because of their inherent merits; the poet also has a duty to mourn all of the willing and unwitting victims of the terrible historical events, extending her love to all of the fallen as if they were equally entitled to it, and refusing to succumb to hate despite their crimes. The poet thus emerges not just as a history-maker and a truth-teller, but a specially selected moral agent whose burden it is to extend the gift of compassion and understanding to the worthy and the unworthy alike.']",01/01/2018,Slavic Languages and Literatures,Dissertation,"code: 1, date: 06/22/2020",Private,Rosochinsky_northwestern_0163D_14069.pdf
55,Essays in Empirical Industrial Organization,"(None, 'Maria Dolores', None, 'Segura Varo')",Economics,In Copyright,"['This dissertation consists of three papers on applied topics in industrial organization. Two of the papers analyze important challenges of policy interest that electricity markets are currently facing. The third paper studies the consequences of demand restrictions in drug markets.', 'The first chapter of my dissertation refers to a paper related to coal regulation. Regulations that provide incentives to firms to continue producing energy from traditional sources such as coal or nuclear are of policy interest primarily due to two important benefits. First, production from such sources ensures a stable supply, as energy produced from renewable sources can be intermittent. Second, production from such sources also ensures a demand for their respective inputs that can play a crucial role in local labor markets. Despite these benefits, delaying the closure of coal-based generation through these regulations may come with high costs to consumers and the environment. In this paper, I study the consequences of a Spanish regulation that incentivized coal production by providing capacity payments to some unprofitable coal power plants using domestic input. First, I show that the regulation reduced production from gas plants, which is a cleaner and more flexible technology, and increased equilibrium prices due to higher bids as regulated plants used more expensive inputs, i.e. domestic coal. Next, I propose an empirical framework to investigate different counterfactual scenarios. I show that an alternative policy design would have reduced consumer costs by 3.2% in comparison to the regulation. My results also demonstrate that total consumer costs also decrease when regulated plants retire and when renewable experiences a substantial negative shock. ', 'The second chapter is a paper that is joint work with Professor Mar Reguant and that evaluates external and internal costs of wind intermittency. The economics literature has focused on quantifying the marginal value of renewables by looking at their market value as a decrease on energy market price and environmental value as a reduction of emissions. However, variable renewable energy adds integration costs due to its intermittency that need to be accounted for to design the optimal generation mix. This paper analyzes the costs of wind intermittency in the context of the Iberian Electricity Market (IEM). Exploiting the market design of the IEM, we define two types of intermittency costs: external and internal. First, external costs are charged to final consumers as part of operational costs. Second, internal costs are accounted for by firms when making their decisions and they penalize last-minute imbalances. Using detailed data from the IEM, we empirically estimate the impact of wind generation and wind intermittency on external costs for different levels of wind integration. Moreover, we show that firms respond to penalties by reducing their deviations. Our paper demonstrates that both wind generation and wind intermittency have a positive average impact on external and internal costs. Therefore, failing to account for these integration costs overstates the marginal value of wind. ', 'Finally, the third chapter is a paper that studies the equilibrium effects of demand restrictions in the market for Hepatitis C drugs. A number of life saving yet prohibitively expensive drugs that target a large pool of potential consumers have recently entered the market. To control the costs of these drugs, state Medicaid agencies individually restrict their access to patients who are at the final stages of the disease. This paper solves a two-stage model to illustrate the equilibrium consequences of these demand restrictions. In the second stage, I construct a theoretical bargaining model between state Medicaid agencies and drug manufacturers to demonstrate how demand restrictions affect negotiated prices. Whereas, in the first stage, I provide a welfare criterion to how the Medicaid chooses these endogenous restrictions. Using Medicaid drug utilization data for the Hepatitis C virus drug and variation in restrictions across states, I then provide empirical evidence for some of the model implications for both stages.']",01/01/2018,Economics,Dissertation,None,no embargo,SeguraVaro_northwestern_0163D_14117.pdf
56,Single Crystal Engineering with DNA,"(None, 'So Young', 'Eileen', 'Seo')","Crystallization, DNA, Nanoparticle, Nucleation and Growth, Self-Assembly, Single Crystal",In Copyright,"['The work of this dissertation seeks to enhance the understanding of DNA-driven nanoparticle assembly and introduce kinetic routes to control mesoscale crystal habit and size. Chapter 1 describes the state of the art in the field of nanoparticle assembly and, specifically, DNA- mediated nanoparticle assembly, where the concept of a DNA-functionalized nanoparticle as a nanoscale “programmable atom equivalent” is first introduced in this dissertation. Chapter 2 describes the dominant forces that govern the interactions between PAEs using the mean-field approximation approach and investigate the role of repulsion during the crystallization process. Chapter 3 explores the role of heteroepitaxy and the impact of lattice mismatch on the growth of nanoparticle superlattice thin films. In Chapter 4, we show that DNA-mediated crystallization of two types of nanoparticles with different hydrodynamic radii generates highly anisotropic, hexagonal prism microcrystals with AB2 crystallographic symmetry. In addition to introducing a new type of crystal habit, we find that the interface kinetics control the formation of observed habit. Chapter 5 demonstrates how salt concentration can be used to control the attachment rate of nanoparticles during the crystallization process, resulting in single crystals at larger length scales. The final chapter summarizes the insights gained in Chapters 2-5 and provides brief details on other developments in single crystal engineering with DNA not covered in this thesis. As a whole, the work reported in this dissertation represents a significant step forward in understanding how the crystal habit is controlled in colloidal crystallization with DNA.']",01/01/2018,Chemistry,Dissertation,"code: 1, date: 06/22/2019",Private,Seo_northwestern_0163D_14084.pdf
57,Modeling and Motion Planning for In-hand Sliding Manipulation,"(None, 'Jian', None, 'Shi')",Robotics,In Copyright,"['This thesis studies the in-hand manipulation problem of repositioning finger contacts on an object by controlled sliding. In this thesis we investigate two versions of the problem. First for a multifingered hand with circle patch contacts, we present a framework for planning the motion of the hand to create an inertial load on the grasped object to achieve a desired in-grasp sliding motion.  The model of the sliding dynamics is based on a soft-finger limit surface contact model at each fingertip. A motion planner is derived to automatically solve for the finger motions for a given initial and desired configuration of the object relative to the fingers. Iterative planning and execution is shown to reduce errors that occur due to modeling and trajectory tracking errors. The framework is applied to the problem of regrasping a laminar object held in a pinch grasp. We propose a limit surface model of the contact pressure distribution at each finger to predict sliding directions. Experimental validations are shown, including iterative error reduction and repeatability of the experiment.', 'Secondly we study quasistatic in-hand sliding manipulation with spring-sliding compliant grasps. We focus on point-contact multi-fingered grasps and the goal is to achieve object regrasping by taking advantage of external contacts with the environment. ', 'Spring compliance ensures fingers remain in contact and maps contact forces to finger compressions. By controlling finger anchor motions the contact forces can be moved to the edges of friction cones and cause sliding to realize regrasping. External contacts provide forces that maintain object force balance during the motions. We model the contact and object mechanics for multi-fingered grasps in spatial cases and analyze robust conditions in terms of finger contact wrench uncertainties. Based on the modeling a general motion planning framework is proposed. We use a two-fingered system to illustrate the analysis and detail the planning algorithm to find feasible regrasp motions maximizing robustness.']",01/01/2018,Mechanical Engineering,Dissertation,None,no embargo,Shi_northwestern_0163D_14121.pdf
58,Endogenous Information Acquisition: Essays in Applied Game Theory,"(None, 'Colin', None, 'Shopp')","Contracts, Game Theory, Information Economics, Microeconomics, Moral Hazard, Persuasion",In Copyright,"['This dissertation endogenizes information acquisition in two-player games across three different settings. The first chapter explores when moral hazard in a principal-agent contract can lead to pareto improvements when it is preceeded by information gathering. The second chapter studies how product differentiation affects the amount of market research done by firms that compete on price. The third chapter examines the role of costly risk in a production process when there is a debt contract between an investor and an entrepreneur. ', ""In Chapter 1, I consider an agent who designs an experiment that reveals information about a state to a principal. The principal subsequently decides whether or not to implement a project. If she does, then she offers a limited-liability contract to motivate the agent to exert effort, which together with the state stochastically determines the project's output. If effort is contractible, the contract ``holds up'' the agent so that conditional on implementation his payoff is independent of the principal's beliefs. In equilibrium, he provides only enough information to maximize the probability that the principal implements the project. In contrast, if effort is non-contractible then the principal must promise the agent rent to motivate effort. Since the promised rent varies across beliefs, the agent may provide more precise information. Thus, although the non-contractibility of effort lowers the principal's payoff at a given belief, it can improve welfare by mitigating hold-up and encouraging information provision. "", 'In Chapter 2, I apply the main result in Persico (2000), that decision-makers acquire more information when their payoffs are more risk-sensitive, to a duopoly model of Bertrand competition with uncertain demand following Vives (1984) in order to show how the amount of private market research firms undertake depends on competition, measured as the level of product differentiation. I decompose the relative marginal return of research across competition levels into two effects, a competitive profit effect and a coordination effect, and show how each of these depends on competition. When the cost of market research is sufficiently high, the amount firms invest in market research is decreasing in the level of competition. In contrast, when the cost of market research is sufficiently low, firms perform the most market research at an intermediate level of competition. I partially extend this result to a public market research setting.', 'In Chapter 3, I extend a simple model of debt between a liquidity-constrained entrepreneur and an investor to allow one of the players, according to the governance structure, to choose either risky or safe production at time 1. Risky production causes capital to depreciate, lowering the value of collateral and production at time 2. When the entrepreneur is tempted to choose risky production in order to foreclose more often in the low state and less often in the high state, he must offer more collateral to the investor. In this way, his inability to commit to safe production can lower his expected value from the project in equilibrium. I provide necessary and sufficient conditions such that the entrepreneur strictly prefers for the investor to have governance over time 1 production in order to overcome this commitment problem.']",01/01/2018,Managerial Economics and Strategy,Dissertation,None,no embargo,Shopp_northwestern_0163D_14128.pdf
59,Developing Functional Optical Imaging Modalities to Study Retinal Diseases,"(None, 'Xiao', None, 'Shu')","Functional imaging, Ophthalmoscopy, Optical coherence tomography, Photoacoustic microscopy, Retinal pigment epithelium",In Copyright,"['Over the past few decades, functional imaging has received increasing attention from both research scientists and clinical practitioners. Compared to conventional imaging technologies, functional imaging modalities can provide the variations in chemical composition, absorption, blood flow and metabolism of biological tissue in addition to visualization of its structure. Information regarding these functional variations not only sheds light upon mechanisms of fundamental physiological processes, but also facilitates early detection of diseases. This dissertation seeks to develop functional imaging modalities for eye imaging, which, by providing enriched understanding of retinal pathophysiology, can ultimately lead to improved management of ocular diseases.', 'A number of well-established technologies can provide functional imaging of biological tissue. For example, positron emission tomography (PET) reveals tissue metabolism by imaging regional glucose uptake; Functional magnetic resonance imaging (fMRI) and computed tomography (CT) perfusion imaging measure neural activity in brain by detecting changes in blood flow. However, with half-millimeter resolution, these imaging modalities cannot resolve the fine information in the retina. The retina is a light-sensitive layer of tissue and a part of central nervous system. It converts the light into nerve impulses and transmits the signal to visual cortex. Though containing several sub-layers with different functionalities in the visual preprocessing cascade, the total thickness of retina is only hundreds of micrometers. Evolved as the optical sensor of human body, the eye provides the light with unhindered access to retina through cornea, lens, aqueous humor and vitreous humor, which makes optical imaging suitable for retinal examination. In addition, optical imaging, in general, has micrometer-level resolution which is sufficient to resolve retinal structure. Although strong optical absorption and scattering of biological tissue diffuse the probing light beyond one-millimeter penetration depth and limit the application of optical imaging to most internal human organs, imaging the entire retina is well within its capabilities. Therefore, optical imaging is ideal for the examination of the retina.', 'Existing clinical retinal imaging modalities, such as fundus photography, scanning laser ophthalmoscopy (SLO) and conventional optical coherence tomography (OCT) rely on structural variation of the retina to detect eye diseases. However, there is growing evidence suggesting that functional aberration may precede structural abnormalities in the leading blinding diseases. For example, loss of melanin in the retinal pigment epithelium (RPE) is both a risk factor and early symptom of age-related macular degeneration (AMD) and measurement of optical absorption and melanin concentration can potentially lead to early detection and better monitoring of the disease. As another example, growing evidence suggests that in diabetic retinopathy (DR), the metabolic changes may reflect onset of the disease long before vascular structure aberration, and evaluation of retinal metabolism can bring medical intervention to an earlier stage.', 'In this dissertation, functional photoacoustic microscopy (PAM) is used to measure the melanin concentration in the RPE. PAM combines optical illumination with acoustic detection and is specific to optical absorption, or energy deposition, which is proportional to the concentration of optical absorbers. A Monte Carlo simulation is first performed to study the optical energy deposition in the retina and the generation of the photoacoustic (PA) signal. An intrinsic calibration scheme using PA signals of retinal blood vessel as reference is proposed to improve consistency across different measurements, different subjects, and different imaging systems. The simulation suggests that, though not required, a fine axial resolution that can distinguish RPE from underlying choroid, which also generates PA signal due to optical absorption, is preferred to increase the measurement sensitivity. Following the simulation, a high axial resolution PAM, enabled by a broadband ultrasonic detector based on a micro-ring resonator (MRR), is developed to measure the melanin concentration in ex vivo eye samples from pig and human. The exceptional 2.12-µm axial resolution allows separation of RPE from choroid and the melanin concentrations in both layers are quantified.', 'In addition to developing PAM for functional imaging of RPE melanin, this dissertation also represents a pioneering study that translates functional visible-light optical coherence tomography (vis-OCT) from preliminary laboratory investigation to clinical applications. Instead of using conventional near-infrared (NIR) light sources, vis-OCT exploits the visible band of the electromagnetic spectrum, which not only improves axial resolution but also provides additional spectroscopic contrast to evaluate oxygen saturation of blood vessel and tissue metabolism. The first vis-OCT ophthalmoscope is developed for in vivo human eye imaging. Engineering design, and user friendliness of the initial prototype system are optimized continuously, which leads to improved imaging quality and provides a platform for retinal oximetry in human subjects.', 'Besides developing functional imaging platforms on the system level, efforts are also made to improve the imaging performance from algorithm and light source perspectives. A spectroscopic Doppler analysis method is proposed to extend the measurement range of flow velocity in blood vessels without phase wrapping correction, which may eventually facilitate metabolism measurement using vis-OCT. A fiber-based nanosecond-pulsed supercontinuum light source is developed to serve as a single light source for both functional PAM and OCT, which facilitates dual-modality applications.']",01/01/2018,Biomedical Engineering,Dissertation,"code: 1, date: 06/22/2019",Private,Shu_northwestern_0163D_14102.pdf
60,Single Particle Surface-enhanced Pump-Probe Raman Spectroscopy for the Direct Observation of Plasmon-Driven Chemistry,"(None, 'Emily', None, 'Sprague-Klein')","Electron transfer, Hot electron chemistry, Plasmonics, SERS, Single nanoparticle",In Copyright,"['Individual plasmonic nanoparticles have the potential to revolutionize all areas of energy science, catalysis, organic electronics, and solar technology.  Owing to their light trapping and focusing ability, single nanoparticles can be utilized to efficiently drive chemical reactions at the sub-nanometer scale.  Much of the fundamental science regarding how plasmons can be harnessed to efficiently drive chemical dynamics remains not yet fully understood.  In this dissertation, we present the first direct detection of fundamental product (i.e. the radical anion) from a plasmon-driven electron transfer reaction.  The radical anion is created through intense illumination of the nanoparticle surface with visible light, causing electrons to transfer to a nearby adsorbate molecule.  The ionized species, or radical anion, is then directly detected using a form of vibrational spectroscopy known as surface-enhanced Raman spectroscopy (SERS).  We demonstrate the plasmon-driven electron transfer effect across various molecular polypyridine complexes as well as provide a detailed description of the experimental energetics required to photo-initiate this reaction.  In addition, we carefully correlate chemical information with nanoparticle structure, optical, and electronic information using localized surface plasmon resonance (LSPR) scattering, spectrally-resolved polarization dependent SERS, and high-resolution transmission electron microscopy (HRTEM) on the same nanoscale entity.   The applications of this work are broad and far-reaching, with impact in the research areas of energy generation and storage, CO2 reduction, catalytic nanoreactors, and photovoltaic design.']",01/01/2018,Applied Physics,Dissertation,"code: 1, date: 06/22/2019",Private,SpragueKlein_northwestern_0163D_14124.pdf
61,Investigating Individual Differences in Implicit Learning,"(None, 'Kelsey', 'Rachel', 'Thompson')","Implicit Learning, Individual Differences, Sequence Learning",In Copyright,"['Memory systems research has established the importance of two distinct types of memory systems in the brain: explicit and implicit. While a robust literature exists on individual differences in the explicit domain (Chapter 3), research on individual differences in implicit learning remains relatively limited. The key question guiding the investigation into individual differences described in this dissertation lies in the arguably natural assumption that certain individuals are more equipped to learn particular skills, such as in sports or music, that are supported by implicit learning mechanisms. Historically, researchers have assumed that individual differences in implicit learning are relatively small or nonexistent due its reliance on evolutionarily older neural mechanisms and its incidental or “automatic” nature. Such an automatic process should not be able to translate into individual advantages or weaknesses in implicit learning. However, the body of research investigating “automaticity” in implicit learning has proved inconclusive in many ways.', 'Furthermore, researchers who study the types of real-world skill learning that implicit learning is thought to support have argued in favor of individual differences. In particular, consideration of the nature of skill expertise has led some to argue that innate talent does play an important role in skill learning. This suggests that implicit learning, as a key component of skill learning, may vary across individuals in a similar way to constructs with a much deeper history of individual differences research, such as fluid intelligence or working memory capacity. In other words, particular individuals may simply be more gifted when it comes to skill learning, a notion that likely seems logical or even obvious to most.', 'In my own research using an implicit sequence learning task, I have found that altering participants’ mental state (e.g., depleting mental resources, inducing a particular motivational state) can impact the expression of implicit knowledge, providing a firmer argument against the notion of “automaticity” in implicit learning (Chapter 2). In addition, other researchers have begun to investigate the relationship between individual differences in working memory capacity and individual differences in implicit learning (Chapter 3). Together, these studies led me to ask the question: is implicit learning ability a reliable trait measure that differs across individuals? Surprisingly, the results from the four experiments at the core of this dissertation (Chapter 4) suggest that the answer is a resounding no. Evidence from both correlational and factor analyses indicated that sequence-specific learning ability is not a stable individual trait. This finding adds significantly to the discussion of the nature of skilled expertise by implying that the basic implicit learning mechanism underlying skill learning is a universally shared process—all individuals have an equal capacity to learn.']",01/01/2018,Psychology,Dissertation,None,no embargo,Thompson_northwestern_0163D_14087.pdf
